id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
2757,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.51708333, 30.95583333)>",187.09,18.85,"<SkyCoord (Galactic): (l, b) in deg
    (187.09, 18.85)>",6.24, , ,A,A0Vn, ,, ,-0.03, ,-0.1, ,27.0,325.0,, ,-3.0178488096233953,0.32899456400093113,109.51708333333332,30.95583333333333
2758,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.06041667, -15.58583333)>",229.59,-1.71,"<SkyCoord (Galactic): (l, b) in deg
    (229.59, -1.71)>",5.46, , ,A,A2Vnp, ,, ,0.08, ,0.06, ,10.0,152.0,0.041, ,-2.276083877525805,-0.029845130209103034,109.06041666666665,-15.585833333333333
2759,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (108.73791667, -41.42583333)>",252.84,-13.49,"<SkyCoord (Galactic): (l, b) in deg
    (252.84, -13.49)>",5.94, , ,B,B4III-IV, ,, ,-0.16, ,, ,21.0,,, ,-1.8702948264371235,-0.23544491609403506,108.73791666666666,-41.42583333333333
2760,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.32416667, 6.68055556)>",209.88,8.78,"<SkyCoord (Galactic): (l, b) in deg
    (209.88, 8.78)>",6.65, , ,B,B8III, ,, ,-0.11, ,-0.41, ,9.0,200.0,, ,-2.6200882730938875,0.15323990832510212,109.32416666666666,6.680555555555556
2761,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (108.69125, -46.84972222)>",257.96,-15.71,"<SkyCoord (Galactic): (l, b) in deg
    (257.96, -15.71)>",5.72, , ,A,A0pSi, ,, ,-0.11, ,-0.46, ,40.0,,, ,-1.7809339687350143,-0.2741912254883092,108.69124999999998,-46.849722222222226
2762,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (108.65916667, -48.27166667)>",259.31,-16.29,"<SkyCoord (Galactic): (l, b) in deg
    (259.31, -16.29)>",4.76, , ,B,B8-9V, ,-0.08, ,-0.1, ,-0.29, ,39.0,,, ,-1.7573720238330903,-0.28431413514987625,108.65916666666666,-48.27166666666667
2763, 54Lam Gem,Gem,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.52333333, 16.54027778)>",200.92,13.23,"<SkyCoord (Galactic): (l, b) in deg
    (200.92, 13.23)>",3.58, , ,A,A3V, ,0.05, ,0.11, ,0.1, ,-9.0,154.0,0.047, ,-2.7764697740725794,0.2309070600388498,109.52333333333333,16.540277777777778
2764,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.15333333, -23.31555556)>",236.5,-5.21,"<SkyCoord (Galactic): (l, b) in deg
    (236.5, -5.21)>",4.79, , ,K,K3Ib-II, ,0.96, ,1.71, ,1.87, ,28.0,,0.019, ,-2.155481626212997,-0.09093165402890457,109.15333333333332,-23.315555555555555
2765,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.38208333, -6.68)>",221.86,2.72,"<SkyCoord (Galactic): (l, b) in deg
    (221.86, 2.72)>",6.29, , ,K,K2, ,, ,1.62, ,1.96, ,9.0,,, ,-2.4109978287049665,0.047472955654245766,109.38208333333333,-6.680000000000001
2766,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.14583333, -27.88111111)>",240.58,-7.3,"<SkyCoord (Galactic): (l, b) in deg
    (240.58, -7.3)>",4.64, , ,M,M3III, ,1.25, ,1.6, ,1.88, ,42.0,,0.012, ,-2.0842721927316283,-0.12740903539558607,109.14583333333331,-27.88111111111111
2767,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (108.8375, -52.49972222)>",263.45,-17.78,"<SkyCoord (Galactic): (l, b) in deg
    (263.45, -17.78)>",5.97, , ,K,K1III, ,, ,1.1, ,, ,39.0,,, ,-1.6851153928005254,-0.3103195410045918,108.83749999999999,-52.499722222222225
2768,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.23833333, -30.89666667)>",243.34,-8.59,"<SkyCoord (Galactic): (l, b) in deg
    (243.34, -8.59)>",6.32, , ,A,A9II, ,0.15, ,0.2, ,0.19, ,-5.0,,, ,-2.0361011053765847,-0.1499237827463129,109.23833333333332,-30.896666666666665
2769,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.1325, -38.31888889)>",250.08,-11.91,"<SkyCoord (Galactic): (l, b) in deg
    (250.08, -11.91)>",5.8, , ,B,B4V, ,, ,-0.13, ,-0.59, ,45.0,,, ,-1.918465913792167,-0.20786871391252465,109.1325,-38.31888888888889
2770,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.20625, -36.59277778)>",248.52,-11.12,"<SkyCoord (Galactic): (l, b) in deg
    (248.52, -11.12)>",5.03, , ,B,B2IV-V, ,, ,-0.17, ,-0.69, ,9.0,132.0,, ,-1.9456930501232783,-0.19408061282176944,109.20624999999998,-36.59277777777778
2771,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.06458333, -46.77444444)>",257.99,-15.45,"<SkyCoord (Galactic): (l, b) in deg
    (257.99, -15.45)>",5.66, , ,K,K4III, ,, ,1.44, ,1.67, ,20.0,,, ,-1.7804103699594154,-0.2696533694331239,109.06458333333332,-46.77444444444444
2772, 47    Cam,Cam,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.57166667, 59.90194444)>",156.84,27.03,"<SkyCoord (Galactic): (l, b) in deg
    (156.84, 27.03)>",6.35, , ,A,A8m, ,, ,, ,, ,7.0,,0.015,D,2.7373743988279067,0.4717624968140673,110.57166666666664,59.901944444444446
2773,   Pi  Pup,Pup,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.28583333, -37.0975)>",249.01,-11.28,"<SkyCoord (Galactic): (l, b) in deg
    (249.01, -11.28)>",2.7, , ,K,K3Ib, ,0.91, ,1.62, ,1.24, ,16.0,,0.032, ,-1.9371409367885066,-0.19687313962496036,109.28583333333331,-37.097500000000004
2774,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.44958333, -26.7975)>",239.73,-6.57,"<SkyCoord (Galactic): (l, b) in deg
    (239.73, -6.57)>",6.46, , ,B,B2IV-V, ,, ,-0.15, ,-0.61, ,15.0,,, ,-2.09910749137358,-0.11466813185602745,109.44958333333331,-26.797500000000003
2775,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.26291667, 42.65555556)>",175.42,23.16,"<SkyCoord (Galactic): (l, b) in deg
    (175.42, 23.16)>",6.35, , ,K,K0, ,, ,1.46, ,1.58, ,46.0,,, ,3.0616565738484525,0.4042182547618867,110.26291666666664,42.65555555555555
2776,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.32291667, 45.22805556)>",172.73,23.9,"<SkyCoord (Galactic): (l, b) in deg
    (172.73, 23.9)>",5.77, , ,A,A7 s, ,, ,0.32, ,0.0, ,25.0,,, ,3.0147072169698053,0.41713369122664473,110.32291666666666,45.22805555555556
2777, 55Del Gem,Gem,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.03083333, 21.98222222)>",195.98,15.89,"<SkyCoord (Galactic): (l, b) in deg
    (195.98, 15.89)>",3.53, , ,F,F2IV, ,0.19, ,0.34, ,0.04, ,4.0,111.0,0.061, ,-2.8626890391210993,0.277332818141899,110.03083333333332,21.98222222222222
2778,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.84333333, 2.74055556)>",213.67,7.46,"<SkyCoord (Galactic): (l, b) in deg
    (213.67, 7.46)>",5.89, , ,G,G9III, ,, ,1.07, ,0.82, ,24.0,,, ,-2.5539402944433025,0.130201562198777,109.84333333333332,2.7405555555555554
2779,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.94833333, 7.14277778)>",209.74,9.54,"<SkyCoord (Galactic): (l, b) in deg
    (209.74, 9.54)>",5.91, , ,F,F8V, ,, ,0.53, ,0.07, ,22.0,10.0,, ,-2.6225317340466794,0.16650441064025903,109.94833333333331,7.142777777777778
2780,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.02875, 15.14277778)>",202.43,13.08,"<SkyCoord (Galactic): (l, b) in deg
    (202.43, 13.08)>",6.45, , ,A,A2Vn, ,, ,-0.02, ,0.07, ,13.0,,, ,-2.750115302367465,0.2282890661608583,110.02874999999997,15.142777777777777
2781, 29    CMa,CMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.66791667, -24.55888889)>",237.82,-5.37,"<SkyCoord (Galactic): (l, b) in deg
    (237.82, -5.37)>",4.98, , ,O,O7Ia:fp,v,-0.13, ,-0.15, ,-1.01, ,-11.0,136.0,, ,-2.132443280086672,-0.0937241808320955,109.66791666666666,-24.55888888888889
2782, 30Tau CMa,CMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.67666667, -24.95416667)>",238.18,-5.54,"<SkyCoord (Galactic): (l, b) in deg
    (238.18, -5.54)>",4.4, , ,O,O9Ib, ,-0.18, ,-0.15, ,-0.99, ,40.0,112.0,, ,-2.1261600947794923,-0.09669124056048586,109.67666666666665,-24.954166666666666
2783, 19    Lyn,Lyn,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.71208333, 55.28444444)>",161.96,26.36,"<SkyCoord (Galactic): (l, b) in deg
    (161.96, 26.36)>",6.53,H, ,B,B9V, ,, ,, ,, ,10.0,250.0,0.011, ,2.826735256530016,0.46006879082570523,110.71208333333331,55.28444444444444
2784, 19    Lyn,Lyn,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.71708333, 55.28138889)>",161.96,26.37,"<SkyCoord (Galactic): (l, b) in deg
    (161.96, 26.37)>",5.45, , ,B,B8V, ,, ,, ,, ,5.0,80.0,0.011, ,2.826735256530016,0.4602433237509047,110.71708333333332,55.28138888888889
2785,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.75833333, -19.28027778)>",233.17,-2.85,"<SkyCoord (Galactic): (l, b) in deg
    (233.17, -2.85)>",6.09, , ,F,F0Iab-Ib, ,, ,0.62, ,0.35, ,62.0,23.0,, ,-2.2136010903044085,-0.04974188368183839,109.75833333333331,-19.280277777777776
2786,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.71333333, -26.58583333)>",239.65,-6.26,"<SkyCoord (Galactic): (l, b) in deg
    (239.65, -6.26)>",5.28, , ,G,G2Ib, ,, ,0.96, ,0.65, ,32.0,,0.017, ,-2.1005037547751755,-0.10925761117484503,109.71333333333331,-26.585833333333333
2787,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.57666667, -36.73416667)>",248.78,-10.91,"<SkyCoord (Galactic): (l, b) in deg
    (248.78, -10.91)>",4.66, , ,B,B2V+B3IVne, ,-0.05, ,-0.1, ,-0.8, ,19.0,277.0,, ,-1.9411551940680933,-0.19041542139258136,109.57666666666665,-36.73416666666667
2788,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.86708333, -16.395)>",230.67,-1.41,"<SkyCoord (Galactic): (l, b) in deg
    (230.67, -1.41)>",5.7, , ,F,F1V, ,, ,0.35, ,0.04, ,-39.0,98.0,0.04, ,-2.2572343216042667,-0.024609142453120045,109.86708333333331,-16.395
2789,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.5175, -43.98666667)>",255.49,-14.03,"<SkyCoord (Galactic): (l, b) in deg
    (255.49, -14.03)>",5.85, , ,B,B8II-III, ,, ,-0.12, ,-0.48, ,13.0,,, ,-1.8240436012592736,-0.24486969405480444,109.51749999999998,-43.986666666666665
2790,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.65916667, -36.74277778)>",248.82,-10.86,"<SkyCoord (Galactic): (l, b) in deg
    (248.82, -10.86)>",5.11, , ,B,B2IVne, ,-0.21, ,-0.16, ,-0.66, ,18.0,124.0,, ,-1.9404570623672956,-0.1895427567665842,109.65916666666665,-36.74277777777778
2791,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.64, -39.21027778)>",251.08,-11.94,"<SkyCoord (Galactic): (l, b) in deg
    (251.08, -11.94)>",5.25, , ,A,A1V, ,, ,0.01, ,0.07, ,32.0,29.0,0.014, ,-1.9010126212722236,-0.20839231268812294,109.63999999999999,-39.21027777777778
2792,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.55583333, 38.99611111)>",179.29,22.31,"<SkyCoord (Galactic): (l, b) in deg
    (179.29, 22.31)>",6.4, , ,K,K0, ,, ,1.22, ,1.23, ,3.0,,, ,3.1292008159006333,0.3893829561199349,110.55583333333333,38.99611111111111
2793, 65    Aur,Aur,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.51083333, 36.76055556)>",181.57,21.58,"<SkyCoord (Galactic): (l, b) in deg
    (181.57, 21.58)>",5.13, , ,K,K0III, ,, ,1.08, ,0.94, ,23.0,17.0,0.022, ,-3.1141909843334825,0.3766420525803763,110.51083333333332,36.760555555555555
2794,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.80708333, -33.72722222)>",246.12,-9.42,"<SkyCoord (Galactic): (l, b) in deg
    (246.12, -9.42)>",6.3, , ,K,K2-3III, ,, ,1.31, ,, ,-2.0,,, ,-1.9875809521711425,-0.16441001553786586,109.80708333333331,-33.727222222222224
2795, 56    Gem,Gem,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.48666667, 20.44361111)>",197.63,15.66,"<SkyCoord (Galactic): (l, b) in deg
    (197.63, 15.66)>",5.1, , ,M,M0IIIab, ,, ,1.52, ,1.87, ,4.0,,0.002, ,-2.833891106463193,0.273318560862312,110.48666666666665,20.44361111111111
2796,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.2425, -14.36)>",229.04,-0.13,"<SkyCoord (Galactic): (l, b) in deg
    (229.04, -0.13)>",5.45, , ,G,gG5, ,, ,0.98, ,0.63, ,13.0,,, ,-2.2856831884117743,-0.0022689280275926286,110.24249999999999,-14.36
2797,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (113.66541667, 80.89666667)>",133.11,28.47,"<SkyCoord (Galactic): (l, b) in deg
    (133.11, 28.47)>",6.41,R, ,G,gG7, ,, ,, ,, ,-2.0,,, ,2.3232077673296523,0.4968952380427856,113.66541666666664,80.89666666666668
2798,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.32041667, -8.87833333)>",224.24,2.51,"<SkyCoord (Galactic): (l, b) in deg
    (224.24, 2.51)>",6.55, , ,F,F5, ,, ,0.54, ,0.04, ,-7.0,10.0,, ,-2.369458992507502,0.043807764225057666,110.32041666666665,-8.878333333333334
2799,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.22166667, -22.85166667)>",236.54,-4.13,"<SkyCoord (Galactic): (l, b) in deg
    (236.54, -4.13)>",6.61, , ,B,B2.5V, ,, ,-0.15, ,, ,10.0,,, ,-2.1547834945121993,-0.07208209810736581,110.22166666666665,-22.851666666666667
2800,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.22916667, -26.96361111)>",240.2,-6.03,"<SkyCoord (Galactic): (l, b) in deg
    (240.2, -6.03)>",6.01, , ,B,B2.5V, ,, ,-0.17, ,-0.7, ,18.0,,, ,-2.090904443889207,-0.10524335389525807,110.22916666666664,-26.96361111111111
2801,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.51458333, 0.17722222)>",216.28,6.89,"<SkyCoord (Galactic): (l, b) in deg
    (216.28, 6.89)>",5.99, , ,B,B8III, ,, ,-0.07, ,-0.29, ,-10.0,5.0,, ,-2.5083872009662502,0.1202531854624093,110.5145833333333,0.17722222222222223
2802,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.26791667, -25.89138889)>",239.26,-5.5,"<SkyCoord (Galactic): (l, b) in deg
    (239.26, -5.5)>",5.87, , ,M,M4III, ,, ,1.64, ,1.9, ,23.0,,, ,-2.107310538857954,-0.09599310885968812,110.26791666666665,-25.891388888888887
2803,   Del Vol,Vol,"<SkyCoord (ICRS): (ra, dec) in deg
    (109.2075, -67.95722222)>",279.09,-22.69,"<SkyCoord (Galactic): (l, b) in deg
    (279.09, -22.69)>",3.98, , ,F,F6II, ,0.38, ,0.79, ,0.45, ,23.0,0.0,0.004, ,-1.4121458977886125,-0.3960152072775134,109.20749999999998,-67.95722222222223
2804,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.23833333, 51.88722222)>",165.74,26.03,"<SkyCoord (Galactic): (l, b) in deg
    (165.74, 26.03)>",5.8, , ,K,K5III, ,0.92, ,1.61, ,1.96, ,18.0,,, ,2.892708702255402,0.454309204294124,111.23833333333333,51.88722222222222
2805, 66    Aur,Aur,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.03541667, 40.67222222)>",177.67,23.15,"<SkyCoord (Galactic): (l, b) in deg
    (177.67, 23.15)>",5.19, , ,K,K1+IIIaCN1, ,, ,1.23, ,1.24, ,21.0,19.0,0.007, ,3.100926482018325,0.40404372183668724,111.03541666666666,40.67222222222222
2806,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.50833333, -8.97916667)>",224.41,2.63,"<SkyCoord (Galactic): (l, b) in deg
    (224.41, 2.63)>",6.43, , ,O,O9V, ,, ,-0.19, ,-1.04, ,23.0,35.0,, ,-2.3664919327791116,0.04590215932745086,110.50833333333331,-8.979166666666666
2807,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.57708333, -2.97888889)>",219.13,5.49,"<SkyCoord (Galactic): (l, b) in deg
    (219.13, 5.49)>",6.23, , ,F,F5, ,, ,0.68, ,0.35, ,-15.0,10.0,, ,-2.4586453172844123,0.0958185759344887,110.57708333333332,-2.978888888888889
2808, 57    Gem,Gem,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.86875, 25.05055556)>",193.34,17.78,"<SkyCoord (Galactic): (l, b) in deg
    (193.34, 17.78)>",5.03, , ,G,G8III, ,, ,0.9, ,0.57, ,6.0,19.0,0.022, ,-2.9087657313737494,0.3103195410045918,110.86874999999999,25.050555555555555
2809,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.8575, 66.33166667)>",149.69,28.26,"<SkyCoord (Galactic): (l, b) in deg
    (149.69, 28.26)>",6.47, , ,B,B9III, ,, ,-0.09, ,-0.19, ,7.0,0.0,, ,2.612583357310312,0.49323004661359754,111.85749999999999,66.33166666666666
2810, 58    Gem,Gem,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.8675, 22.94527778)>",195.38,16.97,"<SkyCoord (Galactic): (l, b) in deg
    (195.38, 16.97)>",6.02,R, ,A,A1V, ,, ,-0.01, ,-0.01, ,15.0,125.0,, ,-2.8731610146330655,0.2961823740634377,110.86749999999999,22.94527777777778
2811,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.60583333, -5.98277778)>",221.81,4.12,"<SkyCoord (Galactic): (l, b) in deg
    (221.81, 4.12)>",5.82, , ,F,F3IV, ,, ,0.35, ,0.19, ,11.0,42.0,, ,-2.411870493330964,0.07190756518216639,110.60583333333331,-5.982777777777778
2812,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.55625, -19.01666667)>",233.29,-2.06,"<SkyCoord (Galactic): (l, b) in deg
    (233.29, -2.06)>",4.96, , ,B,B7IV, ,-0.04, ,-0.04, ,-0.39, ,27.0,117.0,, ,-2.211506695202015,-0.03595378259108319,110.55624999999998,-19.016666666666666
2813,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.08916667, -52.31166667)>",263.57,-17.0,"<SkyCoord (Galactic): (l, b) in deg
    (263.57, -17.)>",6.05, , ,F,F0-2IV-V, ,, ,0.42, ,-0.02, ,22.0,,0.038, ,-1.683020997698132,-0.29670597283903605,110.08916666666664,-52.31166666666666
2814,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.09041667, -52.30972222)>",263.57,-17.0,"<SkyCoord (Galactic): (l, b) in deg
    (263.57, -17.)>",6.6, , ,G,G0V:e, ,, ,0.59, ,0.05, ,35.0,,0.038, ,-1.683020997698132,-0.29670597283903605,110.09041666666666,-52.30972222222222
2815,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.16125, -52.08611111)>",263.37,-16.87,"<SkyCoord (Galactic): (l, b) in deg
    (263.37, -16.87)>",5.39, , ,B,B9II-III, ,, ,-0.07, ,, ,18.0,29.0,, ,-1.6865116562021205,-0.2944370448114434,110.16124999999998,-52.086111111111116
2817,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.11541667, 15.51722222)>",202.53,14.19,"<SkyCoord (Galactic): (l, b) in deg
    (202.53, 14.19)>",6.41, , ,B,B2Ve,v,, ,-0.18, ,-0.84, ,37.0,140.0,, ,-2.7483699731154707,0.24766222085799536,111.11541666666666,15.517222222222223
2818, 21    Lyn,Lyn,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.67833333, 49.21138889)>",168.71,25.75,"<SkyCoord (Galactic): (l, b) in deg
    (168.71, 25.75)>",4.64, , ,A,A1V, ,-0.05, ,-0.02, ,-0.01, ,27.0,16.0,0.012, ,2.9445449810396336,0.4494222823885399,111.67833333333331,49.21138888888889
2819,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.7525, -31.92388889)>",244.86,-7.9,"<SkyCoord (Galactic): (l, b) in deg
    (244.86, -7.9)>",5.43, , ,B,B5IIIn,e,-0.13, ,-0.15, ,-0.68, ,24.0,,, ,-2.009572100746271,-0.13788101090755203,110.7525,-31.92388888888889
2820,  1    CMi,CMi,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.2425, 11.66972222)>",206.17,12.67,"<SkyCoord (Galactic): (l, b) in deg
    (206.17, 12.67)>",5.3, , ,A,A5IV, ,, ,0.1, ,0.13, ,-1.0,165.0,0.015, ,-2.6848399883428775,0.22113321622768156,111.24249999999999,11.669722222222221
2821, 60Iot Gem,Gem,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.43166667, 27.79805556)>",190.85,19.27,"<SkyCoord (Galactic): (l, b) in deg
    (190.85, 19.27)>",3.79, , ,G,G9IIIbHdel -1, ,0.5, ,1.03, ,0.85, ,8.0,9.0,0.032, ,-2.9522244297484086,0.3363249468593073,111.43166666666666,27.798055555555557
2822,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.87125, -27.83416667)>",241.24,-5.92,"<SkyCoord (Galactic): (l, b) in deg
    (241.24, -5.92)>",5.38, , ,K,K2III, ,, ,1.53, ,1.83, ,48.0,,0.013, ,-2.0727530196684656,-0.1033234917180643,110.87124999999999,-27.834166666666665
2823,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.88291667, -32.20222222)>",245.16,-7.93,"<SkyCoord (Galactic): (l, b) in deg
    (245.16, -7.93)>",5.39, , ,B,B3III-IV, ,, ,-0.18, ,-0.69, ,21.0,29.0,, ,-2.004336112990288,-0.13840460968315033,110.88291666666666,-32.202222222222225
2824,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.97625, -30.21694444)>",243.41,-6.94,"<SkyCoord (Galactic): (l, b) in deg
    (243.41, -6.94)>",6.6, , ,B,B2IV-V, ,, ,-0.2, ,-0.79, ,7.0,,, ,-2.0348793749001888,-0.12112585008840648,110.97625,-30.216944444444444
2825,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.16708333, -16.20111111)>",231.09,-0.21,"<SkyCoord (Galactic): (l, b) in deg
    (231.09, -0.21)>",5.33, , ,B,B2.5IVe,v,-0.02, ,-0.05, ,-0.6, ,2.0,33.0,, ,-2.24990393874589,-0.003665191429188092,111.16708333333332,-16.20111111111111
2826,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.07166667, -22.91277778)>",236.96,-3.46,"<SkyCoord (Galactic): (l, b) in deg
    (236.96, -3.46)>",6.19, , ,B,B8, ,, ,-0.09, ,-0.36, ,32.0,,, ,-2.147453111653823,-0.0603883921190038,111.07166666666666,-22.912777777777777
2827, 31Eta CMa,CMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.02375, -29.30305556)>",242.62,-6.49,"<SkyCoord (Galactic): (l, b) in deg
    (242.62, -6.49)>",2.45, , ,B,B5Ia, ,-0.06, ,-0.08, ,-0.72, ,41.0,45.0,, ,-2.048667475990944,-0.11327186845443199,111.02374999999999,-29.303055555555556
2828,  2Eps CMi,CMi,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.41208333, 9.27611111)>",208.45,11.78,"<SkyCoord (Galactic): (l, b) in deg
    (208.45, 11.78)>",4.99, , ,G,G6.5IIb, ,0.5, ,1.01, ,0.78, ,-8.0,17.0,0.008, ,-2.6450464813974066,0.205599785884932,111.41208333333333,9.276111111111112
2829,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (110.99291667, -35.83777778)>",248.48,-9.49,"<SkyCoord (Galactic): (l, b) in deg
    (248.48, -9.49)>",6.31, , ,B,B7III, ,, ,-0.15, ,-0.55, ,28.0,,, ,-1.9463911818240764,-0.16563174601426187,110.99291666666666,-35.83777777777778
2830,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (112.71958333, 68.46555556)>",147.28,28.69,"<SkyCoord (Galactic): (l, b) in deg
    (147.28, 28.69)>",5.64, , ,K,gK2, ,, ,1.11, ,0.89, ,56.0,,0.011, ,2.5705209223372485,0.5007349623971732,112.71958333333333,68.46555555555555
2831,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.21125, -19.01222222)>",233.58,-1.51,"<SkyCoord (Galactic): (l, b) in deg
    (233.58, -1.51)>",6.24, , ,A,A2Ib, ,, ,0.29, ,0.0,?,70.0,,, ,-2.2064452403712314,-0.026354471705114377,111.21124999999999,-19.01222222222222
2832,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.28458333, -13.75194444)>",228.99,1.05,"<SkyCoord (Galactic): (l, b) in deg
    (228.99, 1.05)>",5.78, , ,F,F0V, ,, ,0.42, ,, ,7.0,,0.037, ,-2.286555853037771,0.01832595714594046,111.28458333333332,-13.751944444444444
2833,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.4625, -5.775)>",222.02,4.97,"<SkyCoord (Galactic): (l, b) in deg
    (222.02, 4.97)>",5.97, , ,G,G3Ib, ,, ,0.92, ,0.62, ,14.0,,, ,-2.4082053019017757,0.08674286382411818,111.46249999999999,-5.775
2834,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.1825, -31.80888889)>",244.92,-7.52,"<SkyCoord (Galactic): (l, b) in deg
    (244.92, -7.52)>",5.35, , ,G,G8II, ,, ,1.07, ,0.91, ,20.0,,-0.021, ,-2.0085249031950747,-0.13124875974997358,111.18249999999999,-31.80888888888889
2835,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.70916667, 21.53583333)>",197.05,17.15,"<SkyCoord (Galactic): (l, b) in deg
    (197.05, 17.15)>",6.54, , ,F,F6V, ,, ,0.46, ,, ,47.0,10.0,0.038, ,-2.84401401612476,0.2993239667170275,111.70916666666666,21.535833333333336
2836,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (111.61625, 10.60833333)>",207.31,12.54,"<SkyCoord (Galactic): (l, b) in deg
    (207.31, 12.54)>",6.37, , ,A,A2IV, ,0.02, ,0.09, ,0.06, ,-10.0,20.0,, ,-2.6649432348701416,0.2188642882000889,111.61624999999998,10.608333333333333
